store_risk_rank_desc,persistent_id_store,store_max_predicted_proba,store_predicted_positive_thr012,obs_month_start,obs_month,LOCATION_NAME,LATITUDE,LONGITUDE
7639,8734252,1.6074804e-05,0,2025-12-01,2025-12,Full-Service Restaurants,40.7351799,-73.7948227
7640,12908062,1.607393e-05,0,2026-01-01,2026-01,Akiyama,40.7858205,-73.836028
7641,13016315,1.6072214e-05,0,2026-01-01,2026-01,Teura Restaurant,40.575834,-73.980097
7642,8753465,1.6068228e-05,0,2025-12-01,2025-12,Full-Service Restaurants,40.8695488,-73.9153824
7643,8748358,1.6064138e-05,0,2026-01-01,2026-01,Full-Service Restaurants,40.6125107,-74.0116425
7644,8757566,1.605697e-05,0,2026-01-01,2026-01,Full-Service Restaurants,40.7594299,-73.9758072
7645,12929837,1.6050555e-05,0,2025-12-01,2025-12,Concettina Restaurant,40.7807555,-73.801652
7646,12083450,1.6048627e-05,0,2025-12-01,2025-12,Avs Deli And Grocery INC,40.6319313,-74.0871582
7647,8736314,1.6046239e-05,0,2026-01-01,2026-01,Full-Service Restaurants,40.7317886,-74.001503
7648,8759800,1.6044449e-05,0,2025-12-01,2025-12,Full-Service Restaurants,40.7219696,-73.9987564
7649,8301207,1.6022905e-05,0,2025-12-01,2025-12,Limited-Service Restaurants,40.8185616,-73.9164276
7650,8756763,1.6020522e-05,0,2025-12-01,2025-12,Full-Service Restaurants,40.7514114,-73.9821701
7651,12997836,1.6015938e-05,0,2026-01-01,2026-01,Ricky's,40.6801855,-73.9411945
7652,8740509,1.6015694e-05,0,2026-01-01,2026-01,Full-Service Restaurants,40.7256508,-73.9924316
7653,12239778,1.6013479e-05,0,2025-12-01,2025-12,Astoria Coffee,40.7671005,-73.922554
7654,12934114,1.6012578e-05,0,2026-01-01,2026-01,DJ & C Reyna restaurant,40.854397,-73.9120575
7655,8762585,1.6011036e-05,0,2026-01-01,2026-01,Full-Service Restaurants,40.7136383,-74.0097809
